"ID";"EnergyCommodities";"Periods";"TotalPrimaryEnergySupplyTPES_1";"IndigenousProduction_2";"Imports_3";"Exports_4";"NetImports_5"
"0";"T001027   ";"1946JJ00";"       .";"       .";"       .";"       .";"   151.0"
"1";"T001027   ";"1947JJ00";"       .";"       .";"       .";"       .";"   203.0"
"2";"T001027   ";"1948JJ00";"       .";"       .";"       .";"       .";"   185.0"
"3";"T001027   ";"1949JJ00";"       .";"       .";"       .";"       .";"   209.0"
"4";"T001027   ";"1950JJ00";"       .";"       .";"       .";"       .";"   271.0"
"5";"T001027   ";"1951JJ00";"       .";"       .";"       .";"       .";"   326.0"
"6";"T001027   ";"1952JJ00";"       .";"       .";"       .";"       .";"   317.0"
"7";"T001027   ";"1953JJ00";"       .";"       .";"       .";"       .";"   316.0"
"8";"T001027   ";"1954JJ00";"       .";"       .";"       .";"       .";"   384.0"
"9";"T001027   ";"1955JJ00";"       .";"       .";"       .";"       .";"   472.0"
"10";"T001027   ";"1956JJ00";"       .";"       .";"       .";"       .";"   549.0"
"11";"T001027   ";"1957JJ00";"       .";"       .";"       .";"       .";"   540.0"
"12";"T001027   ";"1958JJ00";"       .";"       .";"       .";"       .";"   520.0"
"13";"T001027   ";"1959JJ00";"       .";"       .";"       .";"       .";"   498.0"
"14";"T001027   ";"1960JJ00";"       .";"       .";"       .";"       .";"   584.0"
"15";"T001027   ";"1961JJ00";"       .";"       .";"       .";"       .";"   708.0"
"16";"T001027   ";"1962JJ00";"       .";"       .";"       .";"       .";"   780.0"
"17";"T001027   ";"1963JJ00";"       .";"       .";"       .";"       .";"   913.0"
"18";"T001027   ";"1964JJ00";"       .";"       .";"       .";"       .";"  1039.0"
"19";"T001027   ";"1965JJ00";"       .";"       .";"       .";"       .";"  1080.0"
"20";"T001027   ";"1966JJ00";"       .";"       .";"       .";"       .";"  1151.0"
"21";"T001027   ";"1967JJ00";"       .";"       .";"       .";"       .";"  1193.0"
"22";"T001027   ";"1968JJ00";"       .";"       .";"       .";"       .";"  1199.0"
"23";"T001027   ";"1969JJ00";"       .";"       .";"       .";"       .";"  1250.0"
"24";"T001027   ";"1970JJ00";"  2016.0";"  1225.0";"       .";"       .";"  1255.0"
"25";"T001027   ";"1971JJ00";"  2144.0";"  1584.0";"       .";"       .";"   956.0"
"26";"T001027   ";"1972JJ00";"  2451.0";"  2023.0";"       .";"       .";"   903.0"
"27";"T001027   ";"1973JJ00";"  2617.0";"  2401.0";"       .";"       .";"   952.0"
"28";"T001027   ";"1974JJ00";"  2579.0";"  2819.0";"       .";"       .";"   135.0"
"29";"T001027   ";"1975JJ00";"  2482.0";"  3023.0";"  4681.0";"  4754.0";"   -73.0"
"30";"T001027   ";"1976JJ00";"  2718.0";"  3232.0";"  5316.0";"  5277.0";"    39.0"
