"ID";"RegioS";"Perioden";"GemiddeldeVerkoopprijs_1"
"1152";"GM0003";"1995JJ00";"   63239"
"1153";"GM0003";"1996JJ00";"   63839"
"1154";"GM0003";"1997JJ00";"   75184"
"1155";"GM0003";"1998JJ00";"   77023"
"1156";"GM0003";"1999JJ00";"   80202"
"1157";"GM0003";"2000JJ00";"   93688"
"1158";"GM0003";"2001JJ00";"  112452"
"1159";"GM0003";"2002JJ00";"  126843"
"1160";"GM0003";"2003JJ00";"  141034"
"1161";"GM0003";"2004JJ00";"  153787"
"1162";"GM0003";"2005JJ00";"  162537"
"1163";"GM0003";"2006JJ00";"  150387"
"1164";"GM0003";"2007JJ00";"  161195"
"1165";"GM0003";"2008JJ00";"  179629"
"1166";"GM0003";"2009JJ00";"  159694"
"1167";"GM0003";"2010JJ00";"  167311"
"1168";"GM0003";"2011JJ00";"  171155"
"1169";"GM0003";"2012JJ00";"  151738"
"1170";"GM0003";"2013JJ00";"  141286"
"1171";"GM0003";"2014JJ00";"  146861"
"1172";"GM0003";"2015JJ00";"  146925"
"1173";"GM0003";"2016JJ00";"  164504"
"1174";"GM0003";"2017JJ00";"  174924"
"1175";"GM0003";"2018JJ00";"  192439"
"3432";"GM0010";"1995JJ00";"   61842"
"3433";"GM0010";"1996JJ00";"   62973"
"3434";"GM0010";"1997JJ00";"   73437"
"3435";"GM0010";"1998JJ00";"   69550"
"3436";"GM0010";"1999JJ00";"   78474"
"3437";"GM0010";"2000JJ00";"   92073"
"3438";"GM0010";"2001JJ00";"   96377"
"3439";"GM0010";"2002JJ00";"  113476"
"3440";"GM0010";"2003JJ00";"  112657"
"3441";"GM0010";"2004JJ00";"  126393"
"3442";"GM0010";"2005JJ00";"  134929"
"3443";"GM0010";"2006JJ00";"  141315"
"3444";"GM0010";"2007JJ00";"  150673"
"3445";"GM0010";"2008JJ00";"  153332"
"3446";"GM0010";"2009JJ00";"  138547"
"3447";"GM0010";"2010JJ00";"  141921"
"3448";"GM0010";"2011JJ00";"  143982"
"3449";"GM0010";"2012JJ00";"  137535"
"3450";"GM0010";"2013JJ00";"  132658"
"3451";"GM0010";"2014JJ00";"  123452"
"3452";"GM0010";"2015JJ00";"  130887"
"3453";"GM0010";"2016JJ00";"  132086"
"3454";"GM0010";"2017JJ00";"  140643"
"3455";"GM0010";"2018JJ00";"  142173"
"4608";"GM0114";"1995JJ00";"   74636"
"4609";"GM0114";"1996JJ00";"   83434"
"4610";"GM0114";"1997JJ00";"   93054"
"4611";"GM0114";"1998JJ00";"  100686"
