"ID";"RegioS";"Perioden";"GemiddeldeVerkoopprijs_1"
"72";"LD03  ";"1995JJ00";"   96079"
"73";"LD03  ";"1996JJ00";"  105359"
"74";"LD03  ";"1997JJ00";"  116500"
"75";"LD03  ";"1998JJ00";"  128373"
"76";"LD03  ";"1999JJ00";"  150549"
"77";"LD03  ";"2000JJ00";"  179105"
"78";"LD03  ";"2001JJ00";"  195339"
"79";"LD03  ";"2002JJ00";"  206232"
"80";"LD03  ";"2003JJ00";"  210867"
"81";"LD03  ";"2004JJ00";"  219236"
"82";"LD03  ";"2005JJ00";"  230694"
"83";"LD03  ";"2006JJ00";"  244866"
"84";"LD03  ";"2007JJ00";"  259586"
"85";"LD03  ";"2008JJ00";"  268223"
"86";"LD03  ";"2009JJ00";"  249839"
"87";"LD03  ";"2010JJ00";"  253528"
"88";"LD03  ";"2011JJ00";"  255658"
"89";"LD03  ";"2012JJ00";"  239438"
"90";"LD03  ";"2013JJ00";"  227547"
"91";"LD03  ";"2014JJ00";"  237708"
"92";"LD03  ";"2015JJ00";"  247357"
"93";"LD03  ";"2016JJ00";"  264412"
"94";"LD03  ";"2017JJ00";"  288951"
"95";"LD03  ";"2018JJ00";"  319865"
